id,danji_name,sido,sigungu,dong,address2,new_address,house_count,dong_count,build_ym
2826,중앙하이츠,서울특별시,중랑구,신내동,479,서울 중랑구 봉화산로56길 123,704세대,5개동,1996년 03월
2827,한신,서울특별시,중랑구,중화동,450,서울 중랑구 동일로 752,"1,544세대",9개동,1997년 10월
2840,상계주공13단지,서울특별시,노원구,상계동,637,서울 노원구 한글비석로54길 92,939세대,9개동,1989년 04월
2841,상계주공16단지,서울특별시,노원구,상계동,624,서울 노원구 동일로227길 26,"2,392세대",18개동,1988년 09월
2842,상계주공2단지,서울특별시,노원구,상계동,746-5,서울 노원구 동일로 1355,"2,029세대",23개동,1987년 11월
2843,상계주공3단지,서울특별시,노원구,상계동,730-2,서울 노원구 동일로 1383,"2,213세대",26개동,1987년 11월
2844,코오롱,서울특별시,송파구,방이동,215,서울 송파구 오금로31길 27,758세대,6개동,1991년 10월
2845,올림픽선수기자촌,서울특별시,송파구,방이동,89,서울 송파구 양재대로 1218,"5,539세대",122개동,1988년 06월
2846,현대리버빌1지구,서울특별시,송파구,풍납동,260,서울 송파구 토성로 37,557세대,7개동,1999년 11월
2847,현대리버빌2지구,서울특별시,송파구,풍납동,261,서울 송파구 풍성로24길 42,384세대,4개동,1999년 11월
2848,신정현대5차,서울특별시,양천구,신정동,1273,서울 양천구 신정로 300,363세대,5개동,1999년 11월
2849,목동우성2차,서울특별시,양천구,신정동,337-2,서울 양천구 목동남로4길 6-23,"1,140세대",15개동,2000년 03월
2850,목동현대,서울특별시,양천구,신정동,1279,서울 양천구 목동동로12길 60,"2,078세대",10개동,1997년 07월
2851,강마을삼성,서울특별시,영등포구,당산동,374,서울 영등포구 당산로54길 11,348세대,4개동,1995년 05월
2852,진로,서울특별시,영등포구,당산동1가,16-1,서울 영등포구 ,461세대,4개동,1997년 08월
2853,한강,서울특별시,영등포구,당산동4가,29,서울 영등포구 ,265세대,2개동,1999년 09월
2854,문래공원한신,서울특별시,영등포구,문래동3가,77-2,서울 영등포구 문래로20길 14,367세대,2개동,1988년 07월
2855,남성맨션,서울특별시,영등포구,문래동2가,35,서울 영등포구 ,390세대,2개동,1983년 05월
2856,대원,서울특별시,영등포구,문래동6가,47-1,서울 영등포구 경인로82길 14,218세대,3개동,1998년 10월
2857,문래두산위브,서울특별시,영등포구,문래동5가,14,서울 영등포구 영신로25길 11,383세대,3개동,1988년 11월
2858,문래미원,서울특별시,영등포구,문래동6가,54,서울 영등포구 ,170세대,2개동,1996년 09월
2859,유원,서울특별시,영등포구,문래동6가,11-1,서울 영등포구 도림로 423,134세대,1개동,1991년 06월
2860,진주맨션,서울특별시,영등포구,문래동5가,22,서울 영등포구 ,160세대,3개동,1984년 08월
2861,현대3차,서울특별시,영등포구,문래동5가,21,서울 영등포구 ,166세대,2개동,1991년 11월
2862,현대5차,서울특별시,영등포구,문래동5가,23-1,서울 영등포구 경인로 778,282세대,2개동,1992년 05월
2863,문래현대6차,서울특별시,영등포구,문래동6가,55-1,서울 영등포구 ,270세대,2개동,1997년 07월
2864,베어스타운,서울특별시,영등포구,문래동6가,38-1,서울 영등포구 ,304세대,2개동,1997년 05월
2865,삼성래미안,서울특별시,영등포구,양평동2가,38-1,서울 영등포구 영등포로3길 7,388세대,5개동,1998년 07월
2866,삼천리,서울특별시,영등포구,양평동3가,24,서울 영등포구 영등포로6길 26,179세대,2개동,2000년 06월
2868,한솔,서울특별시,영등포구,양평동6가,99,서울 영등포구 선유로 110,219세대,2개동,1999년 09월
2869,공작,서울특별시,영등포구,여의도동,21-2,서울 영등포구 여의대로6길 17,373세대,4개동,1976년 08월
2870,상계주공4단지,서울특별시,노원구,상계동,749-5,서울 노원구 동일로 1356,"2,136세대",17개동,1988년 05월
2871,상계주공5단지,서울특별시,노원구,상계동,721,서울 노원구 동일로216길 47,840세대,19개동,1987년 11월
2872,상계주공6단지,서울특별시,노원구,상계동,728-3,서울 노원구 동일로 1384,"2,646세대",28개동,1988년 05월
2873,상계주공7단지,서울특별시,노원구,상계동,691,서울 노원구 상계로1길 92,"2,634세대",21개동,1988년 07월
2874,상계주공8단지,서울특별시,노원구,상계동,677,서울 노원구 노원로38길 10,830세대,18개동,1988년 05월
2875,상계주공9단지,서울특별시,노원구,상계동,670,서울 노원구 노원로 532,"2,830세대",23개동,1988년 10월
2876,문정푸르지오1차,서울특별시,송파구,문정동,18,서울 송파구 문정로 55,233세대,4개동,1999년 10월
2877,강변현대,서울특별시,송파구,풍납동,299-1,서울 송파구 한가람로 402,104세대,1개동,1991년 10월
2878,극동,서울특별시,송파구,풍납동,391,서울 송파구 강동대로9길 8,415세대,4개동,1987년 12월
2879,대아,서울특별시,송파구,풍납동,163,서울 송파구 올림픽로51길 30,140세대,1개동,1998년 03월
2880,동아한가람,서울특별시,송파구,풍납동,507,서울 송파구 한가람로 448,782세대,7개동,1995년 09월
2882,씨티극동,서울특별시,송파구,풍납동,509,서울 송파구 한가람로 478,442세대,3개동,1998년 05월
2883,토성현대,서울특별시,송파구,풍납동,251-2,서울 송파구 풍성로14길 19,132세대,1개동,1986년 07월
2884,현대,서울특별시,양천구,신정동,1252,서울 양천구 신목로 23,217세대,1개동,1995년 07월
2885,현대5차,서울특별시,영등포구,당산동4가,30-1,서울 영등포구 ,976세대,13개동,2000년 03월
2886,당산효성1차,서울특별시,영등포구,당산동5가,12,서울 영등포구 ,480세대,6개동,1999년 12월
2887,우성1차,서울특별시,영등포구,대림동,762-1,서울 영등포구 도림로 187,435세대,4개동,1985년 11월
2888,남서울,서울특별시,영등포구,신길동,3573,서울 영등포구 신길로 108,518세대,13개동,1974년 12월
2889,거성파스텔,서울특별시,영등포구,양평동3가,90-1,서울 영등포구 ,532세대,7개동,1999년 05월
2890,경남아너스빌1차,서울특별시,영등포구,양평동3가,55-1,서울 영등포구 선유로33길 22,179세대,1개동,1998년 07월
2891,상계중앙하이츠1차,서울특별시,노원구,상계동,1279,서울 노원구 노원로28길 15,437세대,2개동,1997년 10월
2892,한신1차,서울특별시,노원구,상계동,135,서울 노원구 한글비석로46가길 16,420세대,4개동,1987년 03월
2893,월계대우,서울특별시,노원구,월계동,775,서울 노원구 초안산로5길 22,344세대,7개동,1998년 07월
2894,월계주공2단지,서울특별시,노원구,월계동,556,서울 노원구 월계로 325,"2,002세대",16개동,1992년 10월
2895,청백3단지,서울특별시,노원구,월계동,780,서울 노원구 월계로45가길 89,458세대,4개동,1998년 08월
2896,청백4단지,서울특별시,노원구,월계동,781,서울 노원구 월계로45가길 94,520세대,4개동,1998년 08월
2897,사슴3단지,서울특별시,노원구,월계동,320-11,서울 노원구 월계로55길 15,884세대,5개동,1995년 06월
2898,유원하나,서울특별시,서대문구,홍제동,454,서울 서대문구 세검정로 134,704세대,6개동,1996년 08월
2899,청구1차,서울특별시,서대문구,홍제동,453,서울 서대문구 통일로 348,862세대,14개동,1994년 06월
2900,삼호4차,서울특별시,서초구,방배동,725,서울 서초구 방배로 268,481세대,6개동,1983년 05월
2901,방배현대홈타운1차,서울특별시,서초구,방배동,1344,서울 서초구 서초대로1길 30,644세대,8개동,1999년 11월
